# GD140
  3200.00   12.17  50.
  3250.00   12.17  50.
  3300.00   12.13  50.
  3350.00   12.14  50.
  3400.00   12.18  50.
  3450.00   12.20  50.
  3500.00   12.22  50.
  3571.00   12.17  50.
  3636.00   12.22  50.
  3704.00   12.27  50.
  3862.00   12.33  50.
  4036.00   12.19  50.
  4167.00   12.19  50.
  4255.00   12.16  50.
  4464.00   12.17  50.
  4566.00   12.18  50.
  4785.00   12.38  50.
  5000.00   12.38  50.
  5263.00   12.46  50.
  5556.00   12.50  100.
  5840.00   12.62  100.
  6056.00   12.75  100.
  6436.00   12.92  100.
  6790.00   12.95  100.
  7100.00   12.99  100.
  7550.00   13.11  100.
  7780.00   13.14  100.
  8090.00   13.26  100.
