 1 2 0.804985 gauss 2.7 0 355.825 0.002
 2 0 0.642824 gauss 2.7 0 349.692 0.002
 3 1 0.901402 gauss 2.7 0 343.900 0.002
 4 0 0.795503 gauss 2.7 0 337.464 0.002
 5 1 0.989898 gauss 2.7 0 331.099 0.002
 6 1 0.934496 gauss 2.7 0 324.886 0.002
 7 1 0.888073 gauss 2.7 0 318.907 0.002
 8 0 0.860567 gauss 2.7 0 312.805 0.002
 9 1 0.677534 gauss 2.7 0 306.601 0.002
11 1 1.086792 gauss 2.7 0 294.340 0.002
12 1 1.000867 gauss 2.7 0 288.223 0.002
13 1 1.011535 gauss 2.7 0 282.295 0.002
14 1 1.059941 gauss 2.7 0 276.397 0.002
15 1 1.070633 gauss 2.7 0 270.036 0.002
16 1 1.014929 gauss 2.7 0 263.795 0.002
17 0 1.056154 gauss 2.7 0 257.857 0.002
19 1 1.010262 gauss 2.7 0 245.340 0.002
20 1 1.329210 gauss 2.7 0 239.071 0.002
21 1 1.012730 gauss 2.7 0 232.936 0.002
22 2 1.053946 gauss 2.7 0 226.763 0.002
23 1 1.376721 gauss 2.7 0 220.742 0.002
24 1 1.396739 gauss 2.7 0 214.579 0.002
25 1 1.301325 gauss 2.7 0 208.787 0.002
26 1 0.810463 gauss 2.7 0 202.392 0.002
27 1 1.219917 gauss 2.7 0 196.406 0.002
28 1 0.729413 gauss 2.7 0 189.815 0.002
30 1 1.257244 gauss 2.7 0 177.277 0.002
31 1 1.077903 gauss 2.7 0 171.462 0.002
32 1 1.085670 gauss 2.7 0 165.604 0.002
33 1 0.800563 gauss 2.7 0 159.134 0.002
34 1 1.147771 gauss 2.7 0 152.901 0.002
35 0 1.096679 gauss 2.7 0 146.801 0.002
36 1 1.164292 gauss 2.7 0 141.093 0.002
37 1 0.457727 gauss 2.7 0 134.824 0.002
38 1 1.269284 gauss 2.7 0 128.719 0.002
39 1 1.309297 gauss 2.7 0 122.536 0.002
41 1 1.283618 gauss 2.7 0 110.218 0.002
42 1 0.687173 gauss 2.7 0 103.963 0.002
43 1 1.175850 gauss 2.7 0 98.0091 0.002
44 1 0.757532 gauss 2.7 0 91.9606 0.002
45 1 1.015546 gauss 2.7 0 79.5097 0.002
46 1 0.372036 gauss 2.7 0 73.5889 0.002
47 0 1.065080 gauss 2.7 0 67.4535 0.002
48 2 0.939866 gauss 2.7 0 60.9762 0.002
