     TPHE_A 00:30:09  -46:31:22  14.651  0.793  0.380  0.435  0.405  0.841  29  12  0.00279 0.00464 0.00706 0.00186 0.00353 0.00316
     TPHE_B 00:30:16  -46:27:55  12.334  0.405  0.156  0.262  0.271  0.535  29  17  0.01151 0.00260 0.00390 0.00204 0.00186 0.00353
     TPHE_C 00:30:17  -46:32:34  14.376 -0.298 -1.217 -0.148 -0.211 -0.360  39  23  0.00224 0.00240 0.00432 0.00384 0.01329 0.01489
     TPHE_D 00:30:18  -46:31:11  13.118  1.551  1.871  0.849  0.810  1.663  37  23  0.00329 0.00296 0.01184 0.00148 0.00230 0.00296
     TPHE_E 00:30:19  -46:24:36  11.630  0.443 -0.103  0.276  0.283  0.564  34   8  0.00171 0.00120 0.00240 0.00069 0.00154 0.00189
     TPHE_F 00:30:50  -46:33:33  12.474  0.855  0.532  0.492  0.435  0.926   5   3  0.00045 0.00581 0.01610 0.00045 0.00402 0.00358
     TPHE_G 00:31:05  -46:22:43  10.442  1.546  1.915  0.934  1.085  2.025   5   3  0.00045 0.00134 0.00358 0.00045 0.00089 0.00089
 PG0029+024 00:31:50  +02:38:26  15.268  0.362 -0.184  0.251  0.337  0.593   5   2  0.00939 0.01744 0.01118 0.01610 0.01252 0.00671
 PG0039+049 00:42:05  +05:09:44  12.877 -0.019 -0.871  0.067  0.097  0.164   4   3  0.00200 0.00300 0.00550 0.00350 0.00550 0.00450
     92_309 00:53:14  +00:46:06  13.842  0.513 -0.024  0.326  0.325  0.652   2   1  0.00354 0.00566 0.00283 0.00141 0.00354 0.00141
     92_235 00:53:16  +00:36:22  10.595  1.638  1.984  0.894  0.911  1.806   5   2  0.00581 0.00447 0.00984 0.00313 0.00447 0.00671
     92_322 00:53:47  +00:47:41  12.676  0.528 -0.002  0.302  0.305  0.608   2   1  0.00071 0.00495 0.00283 0.00141 0.00071 0.00071
     92_245 00:54:16  +00:39:56  13.818  1.418  1.189  0.929  0.907  1.836  21   8  0.00284 0.00786 0.03011 0.00240 0.00240 0.00284
     92_248 00:54:31  +00:40:20  15.346  1.128  1.289  0.690  0.553  1.245   4   2  0.02550 0.01600 0.09550 0.02150 0.01450 0.01750
     92_249 00:54:34  +00:41:10  14.325  0.699  0.240  0.399  0.370  0.770  17   8  0.00485 0.00849 0.01140 0.00461 0.00655 0.00728
     92_250 00:54:37  +00:39:01  13.178  0.814  0.480  0.446  0.394  0.840  20   9  0.00224 0.00335 0.00738 0.00224 0.00224 0.00291
