# Declare the NICMOS JHKKs standards catalog variables

        9101 11.622  0.005 11.298  0.005 11.223  0.008 11.223  0.005 P525-E
        9103 10.932  0.006 10.657  0.004 10.596  0.005 10.594  0.004 S294-D
        9104 11.045  0.005 10.750  0.005 10.693  0.010 10.695  0.005 S754-C
        9105 11.309  0.010 10.975  0.006 10.897  0.006 10.910  0.005 P530-D
        9106 12.153  0.007 11.842  0.005 11.772  0.010 11.788  0.006 S301-D
        9107 11.934  0.005 11.610  0.004 11.492  0.011 11.503  0.005 P247-U
        9108 11.737  0.009 11.431  0.006 11.337  0.008 11.336  0.005 P533-D
        9109 11.552  0.002 11.326  0.002 11.255  0.027 11.269  0.002 S055-D
        9111 11.246  0.006 11.031  0.006 10.992  0.033 10.980  0.006 S361-D
        9113 11.059  0.005 10.766  0.005 10.708  0.034 10.713  0.005 S252-D
        9115 12.069  0.007 11.874  0.005 11.826  0.007 11.831  0.005 S363-D
        9116 11.426  0.009 11.148  0.009 11.077  0.014 11.058  0.008 S840-F
        9118 11.723  0.011 11.357  0.009 11.264  0.016 11.261  0.010 S842-E
        9119 12.114  0.006 11.838  0.005 11.765  0.009 11.781  0.005 S121-E
        9121 11.719  0.004 11.434  0.004  0.000  0.099 11.372  0.004 S255-S
        9122 11.680  0.006 11.408  0.006 11.356  0.013 11.352  0.006 P161-D
        9123 10.833  0.007 10.499  0.007 10.431  0.015 10.442  0.009 S427-D
        9125 10.885  0.007 10.598  0.006 10.514  0.013 10.522  0.008 S005-D
        9126 11.876  0.013 11.522  0.014  0.000  0.099 11.450  0.022 P309-U
        9129 10.914  0.007 10.585  0.006 10.487  0.021 10.496  0.009 S209-D
        9131 10.819  0.008 10.546  0.007 10.499  0.010 10.515  0.008 P035-R
        9132 11.949  0.006 11.669  0.005 11.608  0.004 11.609  0.004 S312-T
        9133 11.521  0.007 11.048  0.008 10.965  0.016 10.960  0.010 S495-E
        9134 11.881  0.007 11.624  0.005 11.575  0.005 11.596  0.006 P545-C
        9135 12.362  0.010 12.098  0.011  0.000  0.099 12.040  0.014 S705-D
        9136 12.489  0.008 12.214  0.008 12.138  0.018 12.142  0.011 S165-E
        9137 11.153  0.007 10.891  0.007 10.830  0.019 10.836  0.010 S372-S
        9138 11.354  0.006 11.041  0.006 10.981  0.015 10.982  0.008 S852-C
        9139 11.683  0.008 11.338  0.007 11.276  0.011 11.282  0.010 P091-D
        9140 11.409  0.011 11.085  0.008  0.000  0.099 11.022  0.012 S262-E
        9141 11.081  0.008 10.775  0.008 10.715  0.035 10.718  0.010 S708-D
        9142 11.993  0.006 11.729  0.005 11.686  0.009 11.697  0.007 P212-C
        9143 12.344  0.007 12.121  0.005 12.067  0.006 12.081  0.005 P550-C
        9144 11.642  0.009 11.335  0.008 11.263  0.018 11.280  0.010 S264-D
        9145 11.958  0.009 11.711  0.008 11.664  0.011 11.675  0.009 P064-D
        9146 11.323  0.007 11.002  0.005 10.931  0.003 10.936  0.004 S217-D
        9147 12.111  0.007 11.803  0.007 11.722  0.013 11.724  0.007 S064-F
        9148 11.642  0.009 11.378  0.008 11.324  0.011 11.343  0.008 P266-C
        9149 12.213  0.007 11.917  0.006 11.861  0.005 11.865  0.005 S860-D
        9150 11.661  0.008 11.310  0.007 11.250  0.014 11.267  0.008 S791-C
        9152 11.149  0.009 10.878  0.007 10.831  0.011 10.839  0.010 P133-C
        9153 11.947  0.008 11.605  0.008 11.560  0.013 11.540  0.008 P499-E
        9154 11.232  0.007 10.990  0.007 10.904  0.009 10.915  0.008 S008-D
        9155 12.045  0.008 11.701  0.005 11.622  0.005 11.633  0.005 S867-V
        9156 10.873  0.008 10.588  0.006 10.523  0.009 10.530  0.007 P041-C
        9157 11.341  0.007 10.924  0.005 10.851  0.004 10.849  0.004 S273-E
        9158 11.640  0.008 11.277  0.006 11.210  0.008 11.223  0.007 P272-D
        9160 10.914  0.008 10.701  0.008 10.649  0.010 10.659  0.009 S870-T
        9162 12.258  0.012 11.924  0.008 11.857  0.013 11.868  0.012 P177-D
        9164 12.180  0.007 11.895  0.006 11.842  0.007 11.844  0.006 P565-C
        9166 11.816  0.007 11.479  0.005 11.419  0.007 11.429  0.006 P330-E
        9169 11.355  0.007 11.118  0.005 11.075  0.008 11.080  0.007 P138-C
        9170 11.132  0.005 10.835  0.005 10.739  0.006 10.744  0.005 S875-C
        9172 12.477  0.009 12.118  0.006 12.026  0.006 12.031  0.006 S279-F
        9173 11.039  0.007 10.778  0.007 10.693  0.009 10.711  0.008 S024-D
        9175 12.252  0.006 11.916  0.007 11.834  0.011 11.839  0.007 S071-D
        9177 12.104  0.005 11.764  0.004 11.688  0.006 11.696  0.005 P182-E
        9178 10.966  0.007 10.658  0.008 10.566  0.014 10.575  0.008 S808-C
        9181 12.464  0.011 12.127  0.008 12.095  0.007 12.070  0.007 S234-E
        9182 11.479  0.005 11.142  0.005 11.082  0.010 11.085  0.005 S813-D
        9183 12.247  0.004 11.940  0.004 11.873  0.007 11.880  0.005 P576-F
        9185 12.021  0.005 11.662  0.004 11.586  0.012 11.585  0.005 S889-E
        9186 11.403  0.009 11.120  0.006 11.045  0.006 11.055  0.006 S893-D
        9187 11.857  0.003 11.596  0.003 11.538  0.009 11.542  0.003 S677-D
        9188 11.634  0.005 11.337  0.004 11.257  0.008 11.262  0.006 P290-D
     BRI0021 11.835  0.008 11.086  0.007 10.552  0.010 10.561  0.008    Red
  T832-38078 11.833  0.010 11.248  0.008 10.890  0.013 10.913  0.008    Red
      LHS191 11.621  0.013 11.058  0.012 10.667  0.020 10.717  0.016    Red
    IRAS537W 12.974  0.009 11.032  0.009  9.981  0.013 10.013  0.011    Red
    IRAS537S 13.855  0.012 12.087  0.009 10.972  0.014 11.035  0.012    Red
     LHS2026 12.066  0.006 11.497  0.005 11.129  0.007 11.156  0.008    Red
    LHS2397a 11.897  0.008 11.190  0.007 10.691  0.008 10.709  0.010    Red
      cskd-8 11.741  0.010  9.913  0.010  9.151  0.011  9.137  0.013    Red
      cskd-9 11.372  0.010  9.788  0.010  9.161  0.011  9.154  0.013    Red
