# LIST OF NIGHT SKY LINES COMPILED FROM VARIOUS SOURCES
#
# The lines in this list were compiled by Don York (don@oddjob.uchicago.edu).
# Please send comments and addtions to him and to iraf@noao.edu.
#
# This file was last edited by DG YORK, Feb. 28, 1991.  The wavelengths of
# atomic night sky lines and of man-made lamp lines need to be improved.  The
# intent is to to use air wavelengths throughout; though it still needs to be
# confirmed as it is not clearly indicated in Osterbrock and in Johnson
# papers (see references below).
#
# Night sky emission lines of OH are denoted by molecular notation and are
# from Hubbard, Brault, Engleman, and Palmer.  Apparently an internal
# document given to Brian Yanny by Robert Hubbard, some time in 1986.  The
# R1,R2, Q1, Q2,P1,P2 predicted wavelengths are listed here, as the higher
# rotational levels and the intersystem lines do not seem relevant to QSO
# spectra.  Listed are the air wavelength, vibration band, rotation branch
# and quantum no. Lines at different wavelength but same quantum nos.  are
# lambda doubling components.
#
# Manmade light from lighting is noted ML. The spectrum of lamps is
# from Osterbrock et al. 1976, June PASP.  HP is for high pressure
# lamps of Na. HgP is listed for lines from mercury lamps that are
# from phosphorus (see Osterbrock paper).
#
# Emission lines from diffuse nebulae are denoted DN. These may be part of
# the sky background in long exposures because the diffuse nebulae overlap in
# projection on the sky, or because there is an ionized component to the
# diffuse interstellar medium.  Nebular lines are from H.M. Johnson, P. 65,
# NEB and ISM, ed. Kuiper and Middlehurst.(Compendium). Emission lines with
# strength above 18 in the Orion nebula (NGC1976) (H beta = 100) are listed.
# The strengths are listed after the letters DN. If the word blend appears,
# the strength refers to the combined strengths of adjacent lines in this
# table. A few lines of first ions are listed with lower strenths, because
# the diffuse emission is of lower excitation than the Orion nebula. See
# papers by Reynolds.
#
# Atomic lines from the night sky are denoted AN.
# units Angstroms

3651.         Hg
3663.         Hg
3726.05       [OII]   DN 127 blend
3728.80       [OII]   DN 127 blend
3868.76       [NeIII] DN  20
3888.65       He I    DN  18 blend
3889.05       HI      DN  18 blend
3967.47       Ne III  DN  24 blend
3970.07       HI      DN  24
4047.         Hg      ML
4078.         Hg      ML
4101.74       HI      DN  25
4340.47       HI      DN  41
4358.         Hg      ML
4494.         Na I HP ML 
4498.         Na I HP ML
4665.         Na I HP ML
4669.         Na I HP ML
4748.         Na I HP ML
4752.         Na I HP ML
4979.         Na I HP ML
4983.         Na I HP ML
5149.         Na I HP ML
5153.         Na I HP ML
4861.33       HI      DN 100
4958.92       [OIII]  DN 113
5006.85       [OIII]  DN 342
5187.3957 9-2 R1
5187.3981 9-2 R1
5187.5126 9-2 R1
5187.7440 9-2 R1
5189.2455 9-2 R2
5189.2706 9-2 R2
5189.4809 9-2 R1
5189.4958 9-2 R1
5190.0244 9-2 R2
5190.0629 9-2 R2
5191.5585 9-2 R2
5191.5620 9-2 R2
5191.8179 9-2 R2
5193.8578 9-2 R2
5194.1050 9-2 R1
5194.1474 9-2 R1
5200.5655 9-2 R2
5201.3610 9-2 R1
5201.4428 9-2 R1
5202.0788 9-2 Q2
5202.1370 9-2 Q2
5202.9636 9-2 Q1
5202.9815 9-2 Q1
5206.7235 9-2 Q2
5206.8236 9-2 Q2
5208.7527 9-2 Q1
5208.8208 9-2 Q1
5211.4737 9-2 R1
5214.4116 9-2 Q2 
5214.5215 9-2 Q2
5217.0318 9-2 Q1
5217.1870 9-2 Q1
5217.3605 9-2 P2
5217.4059 9-2 P2
5224.1140 9-2 P1
5224.1558 9-2 P1
5224.2732 9-2 R1
5225.0740 9-2 Q2
5225.1562 9-2 Q2
5227.9078 9-2 Q1
5228.1883 9-2 Q1
5232.1354 9-2 P2
5232.1704 9-2 P2
5238.6651 9-2 Q2
5238.6824 9-2 Q2
5238.7030 9-2 P1
5238.7881 9-2 P1
5241.4705 9-2 Q1
5241.9157 9-2 Q1
5249.8645 9-2 P2
5249.8756 9-2 P2
5253.8532 6-0 R1
5253.8659 6-0 R1
5254.2652 6-0 R1
5254.2843 6-0 R1
5255.0297 6-0 R2
5255.0573 6-0 R2
5255.0869 9-2 Q2
5255.6107 6-0 R1
5255.6140 6-0 R1
5255.9528 6-0 R2
5255.9868 6-0 R2
5256.0116 9-2 P1
5256.1528 9-2 P1
5256.7399 6-0 R2
5256.7520 6-0 R1
5256.7520 6-0 R2
5256.7695 6-0 R1
5257.8010 9-2 Q1
5258.4473 9-2 Q1
5259.4308 6-0 R2
5259.4606 6-0 R2
5259.5968 6-0 R1
5259.6245 6-0 R1
5261.1695 6-0 R2
5261.1787 6-0 R2
5265.4109 6-0 R2
5265.8854 6-0 R1
5265.9445 6-0 R1
5270.4825 9-2 P2
5270.5075 9-2 P2
5274.0688 6-0 Q2
5274.1436 6-0 Q2
5275.0503 6-0 Q1
5275.0742 6-0 Q1
5276.1366 9-2 P1
5276.3458 9-2 P1
5276.9883 9-2 Q1
5278.1258 6-0 Q2
5278.2512 6-0 Q2
5279.9813 6-0 Q1
5280.0703 6-0 Q1
5284.8243 6-0 Q2
5284.9606 6-0 Q2
5287.0566 6-0 Q1
5287.2574 6-0 Q1
5291.1838 6-0 P2
5291.2252 6-0 P2
5293.9925 9-2 P2
5294.0654 9-2 P2
5294.0830 6-0 Q2
5294.1828 6-0 Q2
5296.3678 6-0 Q1
