# units Angstroms
3187.745     HeI
3307.2283    ArII
3319.3446    ArI
3350.9243    ArII
3354.55      HeI
3373.4823    ArI
3376.4359    ArII
3388.5309    ArII
3397.866     NeII
3406.1804    ArI
3414.4583    ArII
3417.9035    NeI
3421.6107    ArII
3454.0952    ArII
3464.1272    ArII
3472.5711    NeI
3476.7474    ArII
3480.5055    ArII
3509.7785    ArII
3514.3877    ArII
3535.3196    ArII
3548.5144    ArII
3554.3058    ArI
3559.5081    ArII
3561.0304    ArII
3567.6564    ArI
3572.296     ArI
3576.6156    ArII
3588.4407    ArII
3600.1691    NeI
3606.5218    ArI
3613.643     HeI
3622.1375    ArII
3637.031     ArII
3639.8329    ArII
3643.1169    ArI
3655.2782    ArII
3690.8951    ArI
3718.2065    ArII
3720.4265    ArII
3724.5165    ArII
3729.3087    ArII
3737.889     ArII
3780.8398    ArII
3786.3824    ArII
3796.5934    ArII
3799.382     ArII
3803.1724    ArII
3809.4561    ArII
3819.6072    HeI (also 3819.758 HeI at 0.1 intensity of 3819.6072)
3834.6787    ArI
3850.5813    ArII
3868.5284    ArII
3875.2645    ArII
3888.648     HeI
3914.7675    ArII
3925.7188    ArII
3928.6233    ArII
3932.5466    ArII
3946.0971    ArII
3947.5046    ArI
3948.9789    ArI
3964.7289    HeI
3968.3594    ArII
3974.4766    ArII
3979.3559    ArII
3994.7918    ArII
4009.268     HeI
4013.8566    ArII
4033.8093    ArII
4035.46      ArII
4044.4179    ArI
4052.9208    ArII
4054.5258    ArI
4082.3872    ArII
4103.9121    ArII
4112.8153    ArII
4120.815     HeI
4131.7235    ArII
4156.086     ArII
4158.5907    ArI
4164.1795    ArI
4168.967     HeI
4181.8836    ArI
4198.317     ArI
4200.6745    ArI
4222.6373    ArII
4237.2198    ArII
4251.1846    ArI
4259.3619    ArI
4272.1689    ArI
4277.5282    ArII
4282.8976    ArII
4300.1008    ArI
4331.1995    ArII
4333.5612    ArI
4335.3379    ArI
4345.168     ArI
4348.064     ArII
4352.2049    ArII
4367.8316    ArII
4379.6668    ArII
4426.0011    ArII
4430.189     ArII
4437.551     HeI
4448.8792    ArII
4453.9177    KrI
4463.6901    KrI
4471.479     HeI (also 4471.682 HeI at 0.1 intensity of 4471.479)
4474.7594    ArII
4481.8107    ArII
4490.9816    ArII
4498.5384    ArII
4502.3546    KrI
4510.7332    ArI
4522.323     ArI
4530.5523    ArII
4535.4903    ArII
4537.6426    ArII
4545.0519    ArII
4579.3495    ArII
4589.8978    ArII
4596.0967    ArI
4598.7627    ArII
4609.5673    ArII
4628.4409    ArI
4637.2328    ArII
4657.9012    ArII
4702.3161    ArI
