# L97030
3220. 13.03 40.
3300. 13.09 40.
3380. 13.074 40.
3460. 13.068 40.
3540. 13.096 40.
3620. 13.09 40.
3740. 13.152 40.
3860. 13.117 40.
3980. 13.131 40.
4100. 13.344 40.
4220. 12.676 40.
4380. 12.895 40.
4460. 12.648 40.
4580. 12.676 40.
4820. 13.08 40.
4940. 12.885 40.
5060. 12.816 40.
5180. 12.802 40.
5300. 12.877 40.
5420. 12.911 40.
5540. 12.956 40.
5660. 12.978 40.
5740. 13.03 40.
5860. 13.123 40.
7160. 13.333 160.
7320. 13.41 160.
7480. 13.437 160.
7640. 13.568 160.
7800. 13.495 160.
7960. 13.522 160.
8120. 13.537 160.
8280. 13.548 160.
8440. 13.523 160.
8600. 13.565 160.
8760. 13.567 160.
8920. 13.689 160.
9080. 13.727 160.
9240. 13.715 160.
9560. 13.812 160.
9720. 13.742 160.
9880. 13.762 160.
