# LDS 235B
3350. 15.445 49.
3400. 15.415 49.
3450. 15.399 49.
3500. 15.398 49.
3571. 15.427 49.
3636. 15.416 49.
3704. 15.437 49.
3862. 15.474 49.
4036. 15.537 49.
4167. 15.417 49.
4255. 15.395 49.
4464. 15.597 49.
4566. 15.498 49.
4785. 15.511 49.
5000. 15.623 49.
5263. 15.597 49.
5556. 15.656 98.
5840. 15.859 98.
6056. 15.762 98.
6436. 15.796 98.
6790. 15.926 98.
7100. 15.988 98.
7550. 16.102 98.
7780. 16.116 98.
8090. 16.135 98.
8370. 16.269 98.
8440. 16.29 160.
8600. 16.15 160.
8760. 16.10 160.
8920. 16.54 160.

# Fluxes redward of 8440A from Oke, ApJ Suppl. Series No. 236, Vol. 27,
# 21, 1974.
