# ROSS 627
3200. 14.887 49.
3250. 14.896 49.
3300. 14.85 49.
3350. 14.813 49.
3400. 14.802 49.
3450. 14.755 49.
3500. 14.725 49.
3571. 14.688 49.
3636. 14.656 49.
3704. 14.621 49.
3862. 14.57 49.
4036. 14.5 49.
4167. 14.393 49.
4255. 14.364 49.
4464. 14.333 49.
4566. 14.258 49.
4785. 14.217 49.
5000. 14.193 49.
5263. 14.14 49.
5556. 14.12 98.
5840. 14.082 98.
6056. 14.076 98.
6436. 14.082 98.
6790. 14.077 98.
7100. 14.039 98.
7550. 14.15 98.
7780. 14.11 98.
8090. 14.17 98.
8370. 14.026 98.
8440. 14.01 80.
8520. 14.06 80.
8600. 14.02 80.
8680. 14.12 80.
8760. 14.02 80.
8840. 14.00 80.
8920. 14.02 80.
9000. 14.02 80.
9080. 14.12 80.
9160. 14.09 80.
9240. 14.11 80.
9320. 14.01 80.
9400. 13.97 80.
9480. 14.08 80.
9560. 13.90 80.
9640. 13.99 80.
9720. 13.96 80.
9800. 14.01 80.
9880. 13.91 80.
9960. 14.02 80.
10040. 14.03 80.

# Fluxes redward of 8440A from Oke, ApJ Suppl. Series No. 236, Vol. 27,
# 21, 1974.
