# CygOB2No9
  3200.00   15.10  50.
  3250.00   15.24  50.
  3300.00   15.14  50.
  3350.00   14.95  50.
  3400.00   14.83  50.
  3450.00   14.67  50.
  3500.00   14.50  50.
  3571.00   14.34  50.
  3636.00   14.23  50.
  3704.00   14.08  50.
  3862.00   13.69  50.
  4036.00   13.36  50.
  4167.00   13.10  50.
  4255.00   12.98  50.
  4464.00   12.59  50.
  4566.00   12.38  50.
  4785.00   12.08  50.
  5000.00   11.70  50.
  5263.00   11.18  50.
  5556.00   10.70  100.
  5840.00   10.36  100.
  6056.00   10.14  100.
  6436.00    9.85  100.
  6790.00    9.46  100.
  7100.00    9.22  100.
  7550.00    8.98  100.
  7780.00    8.80  100.
  8090.00    8.57  100.
