# Feige34
  3200.00   10.29  50.
  3250.00   10.24  50.
  3300.00   10.24  50.
  3350.00   10.24  50.
  3400.00   10.27  50.
  3450.00   10.31  50.
  3500.00   10.34  50.
  3571.00   10.37  50.
  3636.00   10.40  50.
  3704.00   10.43  50.
  3862.00   10.54  50.
  4036.00   10.58  50.
  4167.00   10.65  50.
  4255.00   10.70  50.
  4464.00   10.79  50.
  4566.00   10.84  50.
  4785.00   10.94  50.
  5000.00   11.03  50.
  5263.00   11.14  50.
  5556.00   11.25  100.
  5840.00   11.36  100.
  6056.00   11.44  100.
  6436.00   11.58  100.
  6790.00   11.67  100.
  7100.00   11.74  100.
  7550.00   11.84  100.
  7780.00   11.84  100.
  8090.00   11.93  100.
