# Wolf1346
  3200.00   11.36  50.
  3250.00   11.39  50.
  3300.00   11.37  50.
  3350.00   11.36  50.
  3400.00   11.34  50.
  3450.00   11.41  50.
  3500.00   11.41  50.
  3571.00   11.40  50.
  3636.00   11.45  50.
  3704.00   11.45  50.
  3862.00   11.48  50.
  4036.00   11.26  50.
  4167.00   11.25  50.
  4255.00   11.25  50.
  4464.00   11.26  50.
  4566.00   11.25  50.
  4785.00   11.42  50.
  5000.00   11.44  50.
  5263.00   11.49  50.
  5556.00   11.59  100.
  5840.00   11.67  100.
  6056.00   11.74  100.
  6436.00   11.88  100.
  6790.00   11.91  100.
  7100.00   12.00  100.
  7550.00   12.11  100.
  7780.00   12.08  100.
  8090.00   12.13  100.
